Bit-0,Bit-1,Bit-6,Bit-7,Bit-8,Bit-9,target
1.0,-1.0,-1.0,1.0,-1.0,1.0,1
1.0,1.0,-1.0,-1.0,1.0,1.0,2
1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,1.0,1.0,-1.0,-1.0,1.0,2
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1
-1.0,-1.0,1.0,1.0,1.0,1.0,2
1.0,-1.0,-1.0,1.0,-1.0,1.0,2
-1.0,-1.0,1.0,-1.0,1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,1.0,1
1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
1.0,1.0,1.0,1.0,-1.0,-1.0,2
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
-1.0,1.0,-1.0,1.0,-1.0,1.0,2
-1.0,-1.0,1.0,1.0,-1.0,-1.0,2
-1.0,1.0,-1.0,1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1
1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
1.0,1.0,-1.0,1.0,1.0,-1.0,2
1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
1.0,1.0,-1.0,1.0,1.0,-1.0,1
-1.0,1.0,-1.0,1.0,1.0,-1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,1.0,1.0,1.0,1.0,-1.0,2
1.0,1.0,-1.0,1.0,1.0,-1.0,2
-1.0,1.0,-1.0,1.0,1.0,-1.0,2
-1.0,-1.0,1.0,1.0,-1.0,-1.0,2
-1.0,1.0,1.0,1.0,1.0,-1.0,2
-1.0,1.0,1.0,-1.0,-1.0,1.0,1
1.0,-1.0,1.0,-1.0,1.0,1.0,2
-1.0,1.0,1.0,-1.0,1.0,1.0,2
-1.0,1.0,-1.0,1.0,1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,-1.0,1.0,1.0,1.0,-1.0,2
1.0,1.0,-1.0,1.0,1.0,-1.0,2
-1.0,-1.0,1.0,-1.0,1.0,1.0,2
-1.0,1.0,1.0,1.0,1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,1.0,-1.0,1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,-1.0,1.0,2
1.0,1.0,-1.0,-1.0,1.0,-1.0,1
1.0,-1.0,1.0,1.0,1.0,-1.0,2
1.0,-1.0,-1.0,1.0,1.0,1.0,2
-1.0,-1.0,-1.0,1.0,1.0,1.0,2
-1.0,1.0,-1.0,1.0,1.0,-1.0,2
1.0,1.0,-1.0,-1.0,1.0,1.0,2
1.0,1.0,1.0,-1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,1.0,2
1.0,-1.0,-1.0,1.0,1.0,-1.0,2
1.0,1.0,-1.0,1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
1.0,1.0,1.0,1.0,1.0,-1.0,2
-1.0,1.0,1.0,-1.0,-1.0,-1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,1.0,2
1.0,-1.0,1.0,1.0,-1.0,1.0,2
1.0,-1.0,-1.0,-1.0,1.0,1.0,1
-1.0,1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
1.0,-1.0,1.0,1.0,1.0,1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,1.0,2
1.0,1.0,1.0,1.0,-1.0,-1.0,2
-1.0,-1.0,1.0,1.0,1.0,-1.0,2
1.0,-1.0,1.0,1.0,1.0,1.0,2
